produce,temperature,humidity,voc,latitude,longitude,city,outside_temp,setpoint,cooler,heater,alert,optimal_setpoint,predicted_shelf_life_days
1,12.541084960315766,84.96196151921777,2916,19.890109,75.917535,5,28.92883648968908,12.607116351031092,0,1,1,12.508693631333701,85.09608671017935
1,11.71209835141193,81.64990832586129,1582,15.644201,74.151372,0,13.015343280490757,13.0,0,1,0,12.7831302760206,81.3796807539133
1,11.413012269276976,83.93400800625905,1311,24.657396,74.974832,2,14.263867586554374,13.0,0,1,0,12.522663009930145,82.34849259346831
0,5.477524474139906,94.79741959811433,1753,25.57782,84.717658,4,7.3057164506455,4.0,1,0,0,4.431913330798136,80.7788885665823
1,11.546382774154864,84.70385776698673,2876,18.305929,82.326597,5,19.121712656675342,13.0,0,1,1,12.953871791206343,71.54510982948523
1,14.489412630649976,88.21988641539349,1791,18.605642,74.74776,5,19.353613323191553,13.0,1,0,0,12.502341950173069,71.17429319523093
0,1.962261647202316,89.4367279798777,1664,15.767126,74.626361,5,32.390154555953245,3.2609845444046757,0,1,0,2.7824355680343964,83.47826079167919
1,11.968444836419923,87.59731367462288,2948,29.042494,75.471029,3,13.215642970425312,13.0,0,1,1,13.184517965032141,73.09926871387783
1,14.814383978871483,88.7245549865043,1378,29.680047,70.940987,2,20.103912325945963,13.0,1,0,0,12.74934108543844,72.45957106566956
0,2.013387937391348,93.1003518834346,1897,28.451658,77.559116,5,28.903135046051144,3.6096864953948855,0,1,0,3.867711508696266,71.97176428695083
0,2.8932498966118447,93.96188870004622,735,22.066797,71.821625,3,8.721825012249674,4.0,0,1,0,3.561850336816248,89.63899559795597
1,14.376709897431036,84.40184959723551,2703,14.647839,84.57839,4,17.210011094837938,13.0,1,0,1,12.629916165833624,69.01706268402587
0,5.42470094662662,88.26430985070641,1902,9.004927,74.454422,4,30.00293196187242,3.499706803812758,1,0,0,3.9743230320907186,75.98622085464098
0,4.879927764997401,91.22740192340652,1661,14.736775,83.499182,1,6.631034436940439,4.0,1,0,0,4.167883085776764,84.57455320779363
1,11.051877009491964,84.39231749421818,1841,13.998562,73.645522,2,7.0236622163246665,13.0,0,1,0,13.062513424188506,70.68863585303458
